Depth (mcd),Age (ka)
1.24,18
3.54,62
6.86,140
7.4,156
8.8,188
9.98,224
10.82,252
12.18,270
13.3,294
14.86,344
19.66,434
24.02,512
30.64,630
34.92,718
37.26,756
38.5,794
42.46,876
44.14,922
45.74,964
46.84,988
47.86,1004
49.08,1038
52.1,1098
53.28,1126
56.24,1198
58.78,1248
60.94,1290
62.9,1336
65.16,1372
67.14,1412
68.56,1456
70.44,1496
72.76,1540
74.88,1576
78.5,1628
79.92,1654
81.8,1706
83.78,1748
85.76,1794
89,1860
90.22,1900
91.82,1948
93.72,2004
96,2046
97.82,2072
101.66,2152
103.66,2200
105.9,2240
108.28,2282
109.9,2320
111.84,2358
113.88,2404
115.7,2436
117.92,2488
119.88,2522
122.06,2566
123.64,2600
125.54,2646
127.4,2688
129.16,2716
132.82,2806
134.52,2848
136.28,2886
138,2926
140.44,2978
141.96,3018
143.4,3050
145.12,3090
147.04,3136
148.9,3176
153.44,3296
155.5,3340
156.48,3380