"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%), CHNS with treated sample (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample treatment method (CHNS organic carbon)","Sample comments"
"317","U1351","A","1","H","1","W","11.0","13.0","0.110","0.110","","","4.2200","0.0000","0.5290","0.0400","","","",""
"317","U1351","A","1","H","1","W","11.0","13.0","0.110","0.110","","","0.8800","0.0000","0.3540","0.4200","","","","Decarbonated fraction for CHNS and SRA"
"317","U1351","A","1","H","1","W","11.0","13.0","0.110","0.110","3.513","29.274","","","","","","","",""
"317","U1351","A","1","H","1","W","25.0","26.0","0.250","0.250","","","0.9500","0.0000","0.3750","0.4000","","","","Decarbonated fraction for CHNS and SRA"
"317","U1351","A","1","H","1","W","25.0","26.0","0.250","0.250","3.321","27.674","4.0600","0.0000","0.6080","0.0600","","0.74","",""
"317","U1351","A","1","H","2","W","43.0","44.0","1.920","1.920","","","2.4900","0.0000","0.5380","0.2600","","","",""
"317","U1351","A","1","H","2","W","43.0","44.0","1.920","1.920","","","0.7700","0.0000","0.3240","0.6900","","","","Decarbonated fraction for CHNS and SRA"
"317","U1351","A","1","H","2","W","43.0","44.0","1.920","1.920","1.681","14.008","","","","","","","",""
"317","U1351","B","1","H","1","W","50.0","51.0","0.500","0.500","3.061","25.507","3.9300","0.0000","0.5790","0.0900","","0.87","",""
"317","U1351","B","1","H","1","W","78.0","79.0","0.780","0.780","3.192","26.599","3.6100","0.0000","0.5750","0.0200","","0.42","",""
"317","U1351","B","1","H","5","W","41.0","42.0","6.410","6.410","0.443","3.692","0.8700","0.0000","0.5810","0.5000","","0.43","",""
"317","U1352","B","1","H","3","W","29.0","30.0","3.290","3.290","0.445","3.708","0.7000","0.0000","0.0250","0.0300","","0.25","",""
"317","U1352","B","1","H","3","W","91.0","92.0","3.910","3.910","0.179","1.492","0.3700","0.0000","0.0200","0.2600","","0.19","",""
"317","U1353","B","1","H","2","W","67.0","68.0","2.170","2.170","2.251","18.758","3.0100","","0.0767","","","0.76","",""
"317","U1353","B","1","H","5","W","26.0","27.0","6.260","6.260","0.912","7.600","1.7700","","0.0694","","","0.86","",""
"317","U1354","B","1","H","1","W","140.0","141.0","1.400","1.390","1.592","13.266","2.5000","","0.0724","","","0.91","",""
"318","U1356","A","1","R","2","W","49.0","51.0","1.990","1.990","0.032","0.267","0.0400","0.0000","0.0098","0.0700","","0.01","",""
"318","U1356","A","1","R","3","W","13.0","15.0","3.130","3.130","0.035","0.292","","","","","","","",""
"318","U1357","A","1","H","2","W","57.0","58.0","2.070","2.060","0.376","3.133","1.3900","0.0000","0.1952","0.7100","","1.01","",""
"318","U1357","A","1","H","4","W","50.0","51.0","5.000","4.970","0.286","2.383","","","","","","","",""
"318","U1357","C","1","H","1","","30.0","40.0","0.300","0.300","0.048","0.400","","","","","","","","I 1-2"
"318","U1357","C","1","H","1","W","50.0","60.0","0.500","0.500","0.0136","0.113","","","","","","","","I 1_3"
"318","U1357","C","1","H","1","","70.0","80.0","0.700","0.700","0.0145","0.121","","","","","","","","I 1_4"
"318","U1357","C","1","H","1","","90.0","100.0","0.900","0.900","0.0151","0.126","","","","","","","","I 1_5"
"318","U1357","C","1","H","1","","90.0","100.0","0.900","0.900","0.0153","0.127","","","","","","","","I 1_5"
"318","U1357","C","1","H","2","","40.0","50.0","1.400","1.400","0.016","0.133","","","","","","","","I 1_7"
"318","U1357","C","1","H","2","","60.0","70.0","1.600","1.600","0.0154","0.128","","","","","","","","I 1_8"
"318","U1357","C","1","H","2","","80.0","90.0","1.800","1.800","0.0158","0.132","","","","","","","","I 1_9"
"318","U1357","C","1","H","2","","80.0","90.0","1.800","1.800","0.0156","0.130","","","","","","","","I 1_9"
"318","U1357","C","1","H","3","","20.0","30.0","2.200","2.200","0.065","0.542","","","","","","","","I 2_2"
"318","U1357","C","1","H","3","","40.0","50.0","2.400","2.400","0.0157","0.131","","","","","","","","I 2_3"
"318","U1357","C","1","H","3","","60.0","70.0","2.600","2.600","0.0162","0.135","","","","","","","","I 2_4"
"318","U1357","C","1","H","3","","80.0","90.0","2.800","2.800","0.0166","0.138","","","","","","","","I 2_5"
"318","U1357","C","1","H","3","","80.0","90.0","2.800","2.800","0.0155","0.129","","","","","","","","I 2_5"
"318","U1357","C","1","H","4","","20.0","30.0","3.200","3.200","0.017","0.142","","","","","","","","I 2_7"
"318","U1357","C","1","H","4","","50.0","60.0","3.500","3.500","0.0170","0.142","","","","","","","","I 2_8"
"318","U1357","C","1","H","4","","70.0","80.0","3.700","3.700","0.0173","0.144","","","","","","","","I 2_9"
"318","U1357","C","1","H","4","","90.0","100.0","3.900","3.900","0.0176","0.147","","","","","","","","I 2_10"
"318","U1357","C","1","H","4","","90.0","100.0","3.900","3.900","0.0178","0.148","","","","","","","","I 2_10"
"318","U1357","C","1","H","5","","50.0","60.0","4.500","4.500","0.018","0.150","","","","","","","","I 4_2"
"318","U1357","C","1","H","5","","80.0","90.0","4.800","4.800","0.0181","0.151","","","","","","","","I 4_3"
"318","U1357","C","1","H","5","","80.0","90.0","4.800","4.800","0.0177","0.147","","","","","","","","I 4_3"
"318","U1357","C","1","H","6","","40.0","50.0","5.400","5.400","0.019","0.158","","","","","","","","I 5_2"
"318","U1357","C","1","H","6","","70.0","80.0","5.700","5.700","0.0183","0.152","","","","","","","","I 5_3"
"318","U1357","C","1","H","6","","70.0","80.0","5.700","5.700","0.0188","0.157","","","","","","","","I 5_3"
"318","U1357","C","1","H","7","","70.0","80.0","6.700","6.700","0.018","0.150","","","","","","","","I 6_2"
"318","U1357","C","1","H","7","","70.0","80.0","6.700","6.700","0.0192","0.160","","","","","","","","I 6_2"
"318","U1357","C","1","H","8","","70.0","80.0","7.700","7.700","0.019","0.158","","","","","","","","I 7_2"
"318","U1357","C","1","H","8","","120.0","130.0","8.200","8.200","0.0195","0.162","","","","","","","","I 8_1"
"318","U1357","C","1","H","8","","120.0","130.0","8.200","8.200","0.0762","0.635","","","","","","","","I 8_1"
"318","U1358","B","1","R","1","W","11.0","12.0","0.110","0.110","0.336","2.800","","","","","","","",""
"318","U1359","A","1","H","1","W","43.0","44.0","0.430","0.390","0.020","0.167","0.2000","0.0000","0.0232","0.0200","","0.18","",""
"318","U1359","B","1","H","1","","30.0","40.0","0.300","0.300","0.003","0.025","","","","","","","","1_1_2"
"318","U1359","B","1","H","1","W","50.0","60.0","0.500","0.500","0.0031","0.026","","","","","","","","1_1_3"
"318","U1359","B","1","H","1","","70.0","80.0","0.700","0.700","0.0030","0.025","","","","","","","","1_1_4"
"318","U1359","B","1","H","1","","90.0","100.0","0.900","0.900","0.0031","0.026","","","","","","","","1_1_5"
"318","U1359","B","1","H","1","","110.0","120.0","1.100","1.090","0.0029","0.024","","","","","","","","1_1_6"
"318","U1359","B","1","H","1","","130.0","140.0","1.300","1.290","0.0031","0.026","","","","","","","","1_1_7"
"318","U1359","B","1","H","1","","130.0","140.0","1.300","1.290","0.0032","0.027","","","","","","","","1_1_7"
"318","U1359","B","1","H","2","","30.0","40.0","1.800","1.790","0.003","0.025","","","","","","","","1_2_2"
"318","U1359","B","1","H","2","","50.0","60.0","2.000","1.990","0.0033","0.027","","","","","","","","1_2_3"
"318","U1359","B","1","H","2","","70.0","80.0","2.200","2.190","0.0028","0.023","","","","","","","","1_2_4"
"318","U1359","B","1","H","2","","90.0","100.0","2.400","2.390","0.0033","0.027","","","","","","","","1_2_5"
"318","U1359","B","1","H","2","","110.0","120.0","2.600","2.580","0.0035","0.029","","","","","","","","1_2_6"
"318","U1359","B","1","H","2","","130.0","140.0","2.800","2.780","0.0033","0.027","","","","","","","","1_2_7"
"318","U1359","B","1","H","2","","130.0","140.0","2.800","2.780","0.0034","0.028","","","","","","","","1_2_7"
"318","U1359","B","1","H","3","","30.0","40.0","3.300","3.280","0.004","0.033","","","","","","","","1_3_2"
"318","U1359","B","1","H","3","","50.0","60.0","3.500","3.480","0.0033","0.027","","","","","","","","1_3_3"
"318","U1359","B","1","H","3","","70.0","80.0","3.700","3.680","0.0035","0.029","","","","","","","","1_3_4"
"318","U1359","B","1","H","3","","90.0","100.0","3.900","3.880","0.0037","0.031","","","","","","","","1_3_5"
"318","U1359","B","1","H","3","","110.0","120.0","4.100","4.070","0.0038","0.032","","","","","","","","1_3_6"
"318","U1359","B","1","H","3","","130.0","140.0","4.300","4.270","0.0039","0.032","","","","","","","","1_3_7"
"318","U1359","B","1","H","3","","130.0","140.0","4.300","4.270","0.0037","0.031","","","","","","","","1_3_7"
"318","U1359","B","1","H","4","","30.0","40.0","4.800","4.780","0.004","0.033","","","","","","","","1_4_2"
"318","U1359","B","1","H","4","","50.0","60.0","5.000","4.980","0.0037","0.031","","","","","","","","1_4_3"
"318","U1359","B","1","H","4","","70.0","80.0","5.200","5.180","0.0038","0.032","","","","","","","","1_4_4"
"318","U1359","B","1","H","4","","90.0","100.0","5.400","5.380","0.0037","0.031","","","","","","","","1_4_5"
"318","U1359","B","1","H","4","","110.0","120.0","5.600","5.570","0.0039","0.032","","","","","","","","1_4_6"
"318","U1359","B","1","H","4","","130.0","140.0","5.800","5.770","0.0038","0.032","","","","","","","","1_4_7"
"318","U1359","B","1","H","4","","130.0","140.0","5.800","5.770","0.0038","0.032","","","","","","","","1_4_7"
"318","U1359","B","1","H","5","","30.0","40.0","6.400","6.370","0.004","0.033","","","","","","","","1_5_2"
"318","U1359","B","1","H","5","","50.0","60.0","6.600","6.570","0.0039","0.032","","","","","","","","1_5_3"
"318","U1359","B","1","H","5","","70.0","80.0","6.800","6.770","0.0039","0.032","","","","","","","","1_5_4"
"318","U1359","B","1","H","5","","90.0","100.0","7.000","6.970","0.0040","0.033","","","","","","","","1_5_5"
"318","U1359","B","1","H","5","","110.0","120.0","7.200","7.160","0.0040","0.033","","","","","","","","1_5_6"
"318","U1359","B","1","H","5","","130.0","138.0","7.400","7.360","0.0042","0.035","","","","","","","","1_5_7"
"318","U1359","B","1","H","5","","130.0","138.0","7.400","7.360","0.0042","0.035","","","","","","","","1_5_7"
"318","U1360","A","1","R","1","W","27.0","28.0","0.270","0.270","0.082","0.683","","","","","","","",""
"318","U1361","A","1","H","4","W","40.0","41.0","4.900","4.890","0.033","0.275","0.1000","0.0000","0.0160","0.0200","","0.07","",""
"320","U1331","A","1","H","1","W","65.0","66.0","0.650","0.650","0.003","0.025","0.2375","0.0000","0.6700","10.2986","","0.23","",""
"320","U1331","A","1","H","2","W","65.0","66.0","2.150","2.150","0.007","0.058","0.5166","0.0000","0.0000","0.0000","","0.51","",""
"320","U1331","A","1","H","3","W","65.0","66.0","3.650","3.650","0.003","0.025","0.1395","0.0000","0.0000","0.0000","","0.14","",""
"320","U1331","A","1","H","3","W","65.0","66.0","3.650","3.650","","","47.3671","0.0000","19.4931","22.0951","","","",""
"320","U1332","A","1","H","1","W","64.0","65.0","0.640","0.640","0.0000","","0.1727","0.0000","0.0595","4.6018","0.18","","Acidification",""
"320","U1332","A","1","H","1","W","64.0","65.0","0.640","0.640","0.0000","","","0.0000","0.0649","0.0000","","","",""
"320","U1332","A","1","H","1","W","64.0","65.0","0.640","0.640","0.3267","2.722","","","","","","","",""
"320","U1332","A","1","H","2","W","65.0","66.0","2.150","2.150","0.005","0.042","0.7973","0.0000","0.0621","5.4765","0.17","0.79","Acidification",""
"320","U1332","A","1","H","2","W","65.0","66.0","2.150","2.150","","","","0.0000","0.0599","5.9088","","","",""
"320","U1332","A","1","H","3","W","25.0","26.0","3.250","3.240","0.026","0.217","0.1839","0.0000","0.0622","6.4362","","0.16","",""
"320","U1333","A","1","H","1","W","65.0","66.0","0.650","0.610","3.771","31.424","3.3360","0.0000","0.0137","0.0000","0.05","bdl","Acidification",""
"320","U1333","A","1","H","1","W","65.0","66.0","0.650","0.610","","","","0.0000","0.0000","0.0000","","","",""
"320","U1333","A","1","H","2","W","65.0","66.0","2.150","2.030","3.167","26.391","","","","","","","",""
"320","U1333","A","1","H","3","W","65.0","66.0","3.650","3.450","8.268","68.897","","","","","","","",""
"320","U1333","A","1","H","4","W","65.0","66.0","5.150","4.860","10.612","88.430","","","","","","","",""
"320","U1333","A","1","H","5","W","65.0","66.0","6.650","6.280","9.808","81.730","","","","","","","",""
"320","U1333","A","1","H","6","W","65.0","66.0","8.150","7.700","10.122","84.347","","","","","","","",""
"320","U1333","A","1","H","7","W","45.0","46.0","9.450","8.940","10.511","87.588","","","","","","","",""
"320","U1333","B","1","H","1","W","65.0","66.0","0.650","0.650","0.009","0.075","","","","","","","",""
"320","U1333","B","1","H","2","W","65.0","66.0","2.150","2.140","0.014","0.117","","","","","","","",""
"320","U1333","B","1","H","3","W","65.0","66.0","3.650","3.640","9.045","75.372","","","","","","","",""
"320","U1334","A","1","H","1","W","65.0","66.0","0.650","0.650","0.013","0.108","0.1985","0.0000","0.2318","5.4447","0.15","0.19","Acidification",""
"320","U1334","A","1","H","1","W","65.0","66.0","0.650","0.650","","","","0.0000","0.0603","0.0000","","","",""
"320","U1334","A","1","H","2","W","65.0","66.0","2.150","2.140","0.001","0.008","","","","","","","",""
"320","U1334","A","1","H","3","W","65.0","66.0","3.650","3.640","0.071","0.592","","","","","","","",""
"320","U1334","A","1","H","4","W","65.0","66.0","5.150","5.130","0.029","0.242","","","","","","","",""
"320","U1334","A","1","H","5","W","65.0","66.0","6.650","6.620","0.087","0.725","","","","","","","",""
"320","U1334","A","1","H","6","W","20.0","21.0","7.700","7.660","0.032","0.267","","","","","","","",""
"320","U1335","A","1","H","1","W","105.0","106.0","1.050","1.050","8.250","68.747","0.1063","0.0000","0.0286","0.4323","8.52","bdl","Acidification",""
"320","U1335","A","1","H","1","W","105.0","106.0","1.050","1.050","","","","0.0000","0.8022","0.0000","","","",""
"320","U1335","A","1","H","2","W","65.0","66.0","2.150","2.150","7.055","58.789","","","","","","","",""
"320","U1335","A","1","H","3","W","65.0","66.0","3.650","3.650","7.173","59.773","","","","","","","",""
"320","U1335","A","1","H","4","W","65.0","66.0","5.150","5.150","8.395","69.956","","","","","","","",""
"320","U1335","A","1","H","5","W","65.0","66.0","6.650","6.650","7.048","58.731","","","","","","","",""
"320","U1335","A","1","H","6","W","65.0","66.0","7.850","7.850","7.490","62.414","","","","","","","",""
"320","U1336","A","1","H","1","W","65.0","66.0","0.650","0.630","9.189","76.572","","","","","","","",""
"320","U1336","A","1","H","2","W","65.0","66.0","2.150","2.090","9.448","78.730","","","","","","","",""
"320","U1336","A","1","H","3","W","65.0","66.0","3.650","3.540","11.065","92.205","","","","","","","",""
"320","U1336","A","1","H","4","W","65.0","66.0","5.150","5.000","10.789","89.905","","","","","","","",""
"320","U1336","A","1","H","5","W","65.0","66.0","6.650","6.460","10.783","89.855","","","","","","","",""
"320","U1336","A","1","H","6","W","25.0","26.0","7.750","7.520","10.085","84.038","","","","","","","",""
"320","U1336","B","1","H","1","W","71.0","72.0","0.710","0.710","9.439","78.655","9.4948","0.0000","0.0140","0.0000","0.18","0.06","Acidification",""
"320","U1336","B","1","H","1","W","71.0","72.0","0.710","0.710","","","","0.0000","0.0000","0.4816","","","",""
"320T","U1330","B","1","H","3","W","75.0","77.0","3.750","3.750","","","10.5390","0.0000","0.0000","0.0000","","","",""
"321","U1338","A","1","H","1","W","20.0","21.0","0.200","0.200","9.434","78.614","9.6433","0.0000","0.0291","0.1337","0.20","0.21","Acidification",""
"321","U1338","A","1","H","1","W","40.0","41.0","0.400","0.400","9.887","82.388","10.2164","0.0000","0.5955","4.7759","0.31","0.33","Acidification",""
"321","U1338","A","1","H","1","W","40.0","41.0","0.400","0.400","10.177","84.805","10.3918","0.0000","0.5136","0.0000","0.26","0.21","Acidification",""
"321","U1338","A","1","H","1","W","60.0","61.0","0.600","0.590","9.923","82.688","10.2545","0.0000","0.0348","0.0465","0.40","0.33","Acidification",""
"321","U1338","A","1","H","1","W","60.0","61.0","0.600","0.590","10.250","85.413","10.4680","0.0000","0.0344","0.0212","0.26","0.22","Acidification",""
"321","U1338","A","1","H","1","W","64.0","65.0","0.640","0.630","9.973","83.105","10.2029","0.0000","0.5616","0.0000","0.28","0.23","Acidification",""
"321","U1338","A","1","H","1","W","64.0","65.0","0.640","0.630","8.068","67.231","8.2763","0.0000","0.0508","0.0000","0.26","0.21","Acidification",""
"321","U1338","A","1","H","1","W","80.0","81.0","0.800","0.790","7.181","59.839","7.4950","0.0000","0.6879","0.0000","0.46","0.31","Acidification",""
"321","U1338","A","1","H","1","W","80.0","81.0","0.800","0.790","","","","0.0000","0.0337","0.0000","","","",""
"321","U1338","A","1","H","1","W","100.0","101.0","1.000","0.990","","","","0.0000","0.5906","0.0000","","","",""
"321","U1338","A","1","H","1","W","100.0","101.0","1.000","0.990","","","","0.0000","0.6554","0.0000","","","",""
"321","U1338","A","1","H","1","W","120.0","121.0","1.200","1.190","","","","0.0000","0.0421","0.0000","","","",""
"321","U1338","A","1","H","1","W","120.0","121.0","1.200","1.190","","","","0.0000","0.6282","0.0000","","","",""
"321","U1338","A","1","H","1","W","140.0","141.0","1.400","1.380","","","","0.0000","0.0439","0.0000","","","",""
"321","U1338","A","1","H","1","W","140.0","141.0","1.400","1.380","","","","0.0000","0.5679","0.0000","","","",""
"321","U1338","A","1","H","1","W","140.0","141.0","1.400","1.380","","","","0.0000","0.0640","0.1235","","","",""
"321","U1338","A","1","H","2","W","10.0","11.0","1.600","1.580","7.162","59.681","7.3064","0.0000","0.5511","0.0000","0.20","0.14","Acidification",""
"321","U1338","A","1","H","2","W","50.0","51.0","2.000","1.970","8.319","69.322","8.4482","0.0000","0.0360","0.0000","0.15","0.13","Acidification",""
"321","U1338","A","1","H","2","W","50.0","51.0","2.000","1.970","9.123","76.022","9.3141","0.0000","0.0000","0.0000","0.24","0.19","Acidification",""
"321","U1338","A","1","H","2","W","68.0","69.0","2.180","2.150","9.095","75.789","9.1494","0.0000","0.0310","0.0000","0.31","0.05","Acidification",""
"321","U1338","A","1","H","2","W","68.0","69.0","2.180","2.150","","","","0.0000","0.5494","0.0000","","","",""
"321","U1338","A","1","H","2","W","90.0","91.0","2.400","2.370","","","","0.0000","0.0319","0.0000","","","",""
"321","U1338","A","1","H","2","W","90.0","91.0","2.400","2.370","","","","0.0000","0.5715","0.0000","","","",""
"321","U1338","A","1","H","2","W","90.0","91.0","2.400","2.370","","","","0.0000","0.0473","0.0000","","","",""
"323","U1339","A","1","H","2","","145.0","150.0","2.950","2.930","1.216","10.133","3.0500","","0.2300","0.2200","","1.83","","Ship SC Split"
"323","U1339","A","1","H","3","","145.0","150.0","4.450","4.420","0.285","2.375","1.1100","","0.1000","0.1500","","0.83","","Ship SC Split"
"323","U1339","B","1","H","1","","25.0","35.0","0.250","0.250","0.0000","","1.5600","","0.1900","0.0400","","","","Ship SC Split"
"323","U1339","B","1","H","1","W","50.0","60.0","0.500","0.500","0.131","1.092","1.5300","","0.1800","0.0600","","1.40","","Ship SC Split"
"323","U1339","B","1","H","1","","75.0","85.0","0.750","0.750","0.132","1.100","1.3400","","0.1600","0.0000","","1.21","","Ship SC Split"
"323","U1339","B","1","H","1","","100.0","110.0","1.000","1.000","0.620","5.166","1.1200","","0.0800","0.1900","","0.50","","Ship SC Split"
"323","U1339","B","1","H","1","","125.0","130.0","1.250","1.250","0.0000","","1.5700","","0.1800","0.1300","","","","Ship SC Split"
"323","U1339","B","1","H","1","","125.0","130.0","1.250","1.250","0.322","2.683","1.8200","","0.1900","0.2000","","1.50","","Ship SC Split"
"323","U1339","B","1","H","2","","25.0","35.0","1.750","1.750","0.394","3.283","1.6800","","0.1700","0.2800","","1.29","",""
"323","U1339","B","1","H","2","","50.0","60.0","2.000","2.000","0.608","5.066","1.9700","","0.1900","0.3200","","1.36","","Ship SC Split"
"323","U1339","B","1","H","2","","75.0","85.0","2.250","2.250","0.635","5.291","2.1500","","0.1900","0.3000","","1.51","","Ship SC Split"
"323","U1339","B","1","H","2","","125.0","130.0","2.750","2.750","0.0000","","1.5800","","0.1800","0.1600","","","","Ship SC Split"
"323","U1339","B","1","H","2","","125.0","130.0","2.750","2.750","1.598","13.316","3.4100","","0.2200","0.3600","","1.81","","Ship SC Split"
"323","U1339","B","1","H","3","","10.0","20.0","3.100","3.090","0.493","4.108","1.7200","","0.1400","0.2600","","1.23","","Ship SC Split"
"323","U1340","A","1","H","CC","","11.0","21.0","3.800","3.800","0.429","3.575","1.2616","0.0000","0.1053","0.1722","","0.83","",""
"323","U1341","A","1","H","1","","140.0","150.0","1.400","1.380","1.491","12.425","3.0043","0.0000","0.1727","0.2178","","1.51","","Ship SC Split"
"323","U1342","A","1","H","1","","148.0","155.0","1.480","1.480","0.752","6.266","1.4228","0.0000","0.0946","0.0655","","0.67","","Ship SC Split"
"323","U1342","B","1","H","1","","25.0","35.0","0.250","0.250","5.720","47.665","7.9138","0.0000","0.2502","0.0204","","2.19","","Ship SC Split"
"323","U1342","B","1","H","1","","50.0","60.0","0.500","0.500","2.090","17.416","3.2188","0.0000","0.1675","0.0122","","1.13","","Ship SC Split"
"323","U1342","B","1","H","1","","75.0","85.0","0.750","0.750","1.207","10.058","2.3934","0.0000","0.1586","0.0231","","1.19","","Ship SC Split"
"323","U1342","B","1","H","1","","100.0","110.0","1.000","0.990","1.081","9.008","2.0369","0.0000","0.1506","0.0467","","0.96","","Ship SC Split"
"323","U1342","B","1","H","1","","125.0","130.0","1.250","1.240","0.500","4.167","1.0616","0.0000","0.0997","0.0816","","0.56","","Ship SC Split"
"323","U1342","B","1","H","1","","125.0","130.0","1.250","1.240","1.051","8.758","2.0669","0.0000","0.1532","0.1137","","1.02","","Ship SC Split"
"323","U1342","B","1","H","2","","25.0","40.0","1.750","1.740","1.527","12.724","2.3731","0.0000","0.1330","0.0780","","0.85","","Ship SC Split"
"323","U1342","B","1","H","2","","50.0","65.0","2.000","1.990","1.6384","13.653","2.4541","0.0000","0.1395","0.0770","","0.82","","Ship SC Split"
"323","U1342","B","1","H","2","","75.0","90.0","2.250","2.240","1.0049","8.374","0.9593","0.0000","0.1062","0.1871","","bdl","","Ship SC Split"
"323","U1342","B","1","H","2","","100.0","115.0","2.500","2.480","0.3529","2.941","1.1842","0.0000","0.1387","0.1349","","0.83","","Ship SC Split"
"323","U1342","B","1","H","2","","125.0","140.0","2.750","2.730","0.2981","2.484","1.1596","0.0000","0.1385","0.2038","","0.86","","Ship SC Split"
"323","U1342","B","1","H","2","","125.0","140.0","2.750","2.730","0.3100","2.583","","","","","","","","Ship SC Split"
"323","U1342","B","1","H","3","","75.0","90.0","3.750","3.730","0.399","3.325","1.6076","0.0000","0.1657","0.2854","","1.21","","Ship SC Split"
"323","U1342","B","1","H","3","","75.0","90.0","3.750","3.730","0.200","1.667","1.1186","0.0000","0.1271","0.2333","","0.92","","Ship SC Split"
"323","U1342","B","1","H","4","","5.0","15.0","4.550","4.520","0.300","2.500","1.1637","0.0000","0.1175","0.2281","","0.86","","Ship SC Split"
"323","U1343","A","1","H","2","","140.0","150.0","2.900","2.900","0.316","2.633","1.7179","0.0000","0.1558","0.5429","","1.40","","Ship SC Split"
"323","U1344","A","1","H","2","","135.0","150.0","2.850","2.830","0.092","0.767","1.1126","0.0000","0.1084","0.2720","","1.02","","Ship SC Split"
"323","U1344","A","1","H","4","","140.0","150.0","5.900","5.870","0.149","1.242","1.1019","0.0000","0.1044","0.3749","","0.95","","Ship SC Split"
