Depth CCSF (m),Age (kyr),14C Age (y),14C error (y),Calendar Age (y)
0.01,2.33,2334.25,29.94,2485
0.07,3.96,3959.78,44.44,4338
0.13,5.65,5650.24,49.8,5459
0.19,7.13,7125.26,128.13,7732
0.24,8,8003.62,98.34,8642
0.31,8.78,8780.68,33.43,9706
0.37,8.95,8948.47,53.37,9956
0.43,12.09,12085.86,50.61,13857
0.49,12.92,12917.21,70.94,15277
0.55,14.78,14778.97,50.03,17878
0.59,15.84,15844.38,51.33,19336
0.73,17.93,17925.22,67.59,21511
0.8,18.39,18387.11,52.31,22260
0.85,22.4,22402.09,64.12,26471
0.91,23.92,23921.06,81.08,27834
0.97,24.89,24892.98,78.1,28954
1.03,27.43,27431.24,94.68,31227
1.09,27.82,27815.52,107.87,31470
1.15,30.65,30649.01,156.88,34680
1.27,31.83,31827.56,157.83,35802
1.33,34.84,34843.94,215.05,39566
1.4,38.86,38857.15,213.5,42426