Depth CCSF (m),Age (Myr),Kind
0,0,
1.3037,0.0406,RPI
3.882,0.121,RPI
6.357,0.1942,RPI
7.4207,0.2143,RPI
8.2272,0.2389,RPI
10.3687,0.2783,RPI
11.0907,0.298,RPI
15.6173,0.3856,RPI
16.4731,0.4081,RPI
17.6974,0.445,RPI
19.1917,0.4967,RPI
19.5976,0.507,RPI
27.4745,0.6568,RPI
28.8585,0.6845,RPI
30.0773,0.7213,RPI
30.9349,0.7405,RPI
31.7236,0.7682,Reversal
32.0259,0.7807,Reversal
35.8667,0.8892,RPI
37.5176,0.9258,RPI
41.1096,0.9905,RPI
44.7,1.072,Reversal
48.0955,1.182,Reversal
51.8236,1.2541,RPI
55.65,1.34,RPI
57.3114,1.364,RPI
59.5664,1.4095,RPI
63.4477,1.502,RPI
64.1457,1.5196,RPI
66.3122,1.5715,RPI
66.8017,1.5883,RPI
66.989,1.5967,RPI
67.1475,1.6109,RPI
67.9382,1.6392,RPI
69.1703,1.6638,RPI
72.112,1.7776,Reversal
77.9,1.945,Reversal
82.9917,2.1358,Reversal
103.091,2.5811,Reversal
125.0322,3.0321,Reversal
146.4541,3.596,Reversal
154.72,3.7,nanno
160.93,3.85,planctic
160.94,3.92,nanno
170.8,4.187,Reversal
174.934,4.299,Reversal
178.4473,4.4932,Reversal
184.7744,4.6349,Reversal
197.29,5.04,nanno
202.5,5.235,Reversal
205.64,5.28,nanno
207.13,5.35,nanno
227.06,5.53,nanno
228.55,5.57,planctic
231.83,5.92,planctic
242.28,5.94,nanno
264.16,6.06,planctic
275.77,6.14,planctic